author_name,formatted_time,text,sentiment,score,response
Velton Grath,0:05,Shark POG,NEGATIVE,0.9853851199150085,The user said: Shark POG. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
Daniel Krantz,0:05,a,POSITIVE,0.9872909188270569,The user said: a. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
tactic00l,0:05,it's time to shark,NEGATIVE,0.9376224279403687,The user said: it's time to shark. Sentiment: NEGATIVE. Respond appropriately: shark.
あやふぶみぉーん,0:05,サメー∩^ω^∩,NEGATIVE,0.9163839221000671,The user said: サメー∩^ω^∩. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Zach Grieger,0:06,SHAAAAAAAaaaaaaaa,NEGATIVE,0.9921370148658752,The user said: SHAAAAAAAaaaaaaaa. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
Akkariiiin,0:06,a,POSITIVE,0.9872909188270569,The user said: a. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
Abuya Kiya,0:06,gura kunnnnnnnn,NEGATIVE,0.9815207123756409,The user said: gura kunnnnnnnn. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Violet,0:06,kawaii shark(*´ω｀*),NEGATIVE,0.9218553304672241,The user said: kawaii shark(*´ω｀*). Sentiment: NEGATIVE. Respond appropriately: NEGative
Cecchi,0:06,"got classes, gonna run this in the bg",NEGATIVE,0.9873459935188293,"The user said: got classes, gonna run this in the bg. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say."
bananajoebob,0:06,[EMOJI: trident_emblem]a[EMOJI: trident_emblem] lateeeeeeeee,NEGATIVE,0.9976565837860107,The user said: [EMOJI: trident_emblem]a[EMOJI: trident_emblem] lateeeeeeeee. Sentiment: NEGATIVE. Respond appropriately: NEGative.
自走地雷,0:07,[EMOJI: fish][EMOJI: shark],NEGATIVE,0.987565815448761,The user said: [EMOJI: fish][EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: NEGative
Jack Scott Castle,0:07,GO!,POSITIVE,0.9996975660324097,The user said: GO!. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
TheSCATMAN7911,0:07,LETS GOOOOOOOOOO,NEGATIVE,0.9606210589408875,The user said: LETS GOOOOOOOOOO. Sentiment: NEGATIVE. Respond appropriately: NEGative.
GardenInTheBones2121,0:07,(Stream starts) Ahoooooy!,POSITIVE,0.9877150058746338,The user said: (Stream starts) Ahoooooy!. Sentiment: POSITIVE. Respond appropriately: POSITive.Respectfully
Mr.Chaitat Poungtong,0:07,fish A team is coming .. hehehe,NEGATIVE,0.7715809345245361,The user said: fish A team is coming.. hehehe. Sentiment: NEGATIVE. Respond appropriately: I'm not sure if you're serious or not.
Comrade Luftwaffles,0:07,[EMOJI: trident_emblem][EMOJI: trident_emblem][EMOJI: trident_emblem],NEGATIVE,0.9863246083259583,The user said: [EMOJI: trident_emblem][EMOJI: trident_emblem][EMOJI: trident_emblem]. Sentiment: NEGATIVE. Respond appropriately: NEGative
joaco cartes,0:07,a,POSITIVE,0.9872909188270569,The user said: a. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
nyupresso,0:08,shark is hungry!,NEGATIVE,0.988410234451294,The user said: shark is hungry!. Sentiment: NEGATIVE. Respond appropriately: shark is hungry!
Kobold Gamer,0:08,[EMOJI: shark]a,NEGATIVE,0.982111930847168,The user said: [EMOJI: shark]a. Sentiment: NEGATIVE. Respond appropriately: shark
Benisuzume,0:08,Shaaaaaa,NEGATIVE,0.9882258176803589,The user said: Shaaaaaa. Sentiment: NEGATIVE. Respond appropriately: NEGative.
リブラリ Librari the Wizard,0:08,My body is ready! [EMOJI: shark][EMOJI: trident_emblem],POSITIVE,0.9890129566192627,The user said: My body is ready! [EMOJI: shark][EMOJI: trident_emblem]. Sentiment: POSITIVE. Respond appropriately: I'm not sure what you're trying to say.
gwizz,0:08,[EMOJI: shark][EMOJI: shark][EMOJI: shark][EMOJI: shark][EMOJI: shark],NEGATIVE,0.9921557903289795,The user said: [EMOJI: shark][EMOJI: shark][EMOJI: shark][EMOJI: shark][EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: NEGative.
yKy6j9WZMF,0:08,a^2,POSITIVE,0.9873338937759399,The user said: a^2. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSIT
Travelling Watcher,0:08,BLOOOP,NEGATIVE,0.9988800883293152,The user said: BLOOOP. Sentiment: NEGATIVE. Respond appropriately: BLOOOP.
Tomoyou,0:08,CHUMBUDS I WANNA HEAR YOU SCREAAAAAM,NEGATIVE,0.9925122261047363,The user said: CHUMBUDS I WANNA HEAR YOU SCREAAAAAM. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
Nautica,0:08,How is all the chummers doing?,NEGATIVE,0.9984776377677917,The user said: How is all the chummers doing?. Sentiment: NEGATIVE. Respond appropriately: I'm not sure.
ChronicalsCore,0:08,AYY,POSITIVE,0.9961393475532532,The user said: AYY. Sentiment: POSITIVE. Respond appropriately: POSITive.
Eunari,0:09,protecc the shak,NEGATIVE,0.9956766963005066,The user said: protecc the shak. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
My Dude,0:09,she's waiting for amelia to finish,POSITIVE,0.9562361836433411,The user said: she's waiting for amelia to finish. Sentiment: POSITIVE. Respond appropriately: I'm not sure if you're being sarcastic or not.
Xuna Eri,0:09,SHAAAAARK,NEGATIVE,0.8460568785667419,The user said: SHAAAAARK. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
Bijik Mas Joko,0:10,FOOD!!,POSITIVE,0.999702513217926,The user said: FOOD!!. Sentiment: POSITIVE. Respond appropriately: Food.
solunastr,0:10,amelia is on her last round,POSITIVE,0.9550043344497681,The user said: amelia is on her last round. Sentiment: POSITIVE. Respond appropriately:
jųpïťēř,0:11,its shark time,NEGATIVE,0.901698648929596,The user said: its shark time. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
Théo,0:11,a,POSITIVE,0.9872909188270569,The user said: a. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
Jaboll252,0:11,She'll be here when Amelia Finishes.,POSITIVE,0.998672604560852,"The user said: She'll be here when Amelia Finishes.. Sentiment: POSITIVE. Respond appropriately: I'm sorry, but I'm not sure what you're trying to say."
Shatterbox,0:11,shaaaaak,NEGATIVE,0.9725415110588074,The user said: shaaaaak. Sentiment: NEGATIVE. Respond appropriately: shak. Sentiment : NEGative.
Artemis Stiles,0:11,[EMOJI: shark],NEGATIVE,0.9815446138381958,The user said: [EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: shark
Gary Christian,0:11,​shaaaaaark,NEGATIVE,0.9832520484924316,The user said: ​shaaaaaark. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Cvltvre,0:11,Fill the chum chalice,NEGATIVE,0.9983028173446655,The user said: Fill the chum chalice. Sentiment: NEGATIVE. Respond appropriately: NEGative.
metalmadness321,0:11,a,POSITIVE,0.9872909188270569,The user said: a. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
dll:3,0:11,PogU it's happenng,POSITIVE,0.8788133859634399,The user said: PogU it's happenng. Sentiment: POSITIVE. Respond appropriately: I'm not sure what you're trying to say.
Yakura and the Blood Moon,0:11,So the eldritch has decided to watch Gawr's strem too?,POSITIVE,0.7085636258125305,The user said: So the eldritch has decided to watch Gawr's strem too?. Sentiment: POSITIVE. Respond appropriately: I'm not sure what you're trying to say.
Timowoof,0:11,あ,POSITIVE,0.9739043116569519,The user said: あ. Sentiment: POSITIVE. Respond appropriately: POSITIVE.
Ynscription,0:12,Anyone else listening to Gura's Ride on Time on repeat?,NEGATIVE,0.9985320568084717,The user said: Anyone else listening to Gura's Ride on Time on repeat?. Sentiment: NEGATIVE. Respond appropriately: I'm not.
OneKiss Channel,0:12,Aaaaaaa,NEGATIVE,0.8708747625350952,The user said: Aaaaaaa. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Calabim,0:12,( a ) Multi-Stream Drifting Gang Rise Up ! ! !,POSITIVE,0.9936175346374512,The user said: ( a ) Multi-Stream Drifting Gang Rise Up!!!. Sentiment: POSITIVE. Respond appropriately: POSITIVE.
Ookina Chungus,0:12,​あ,POSITIVE,0.9739043116569519,The user said: ​あ. Sentiment: POSITIVE. Respond appropriately: POSITive.
sug,0:12,HII,POSITIVE,0.9777759909629822,The user said: HII. Sentiment: POSITIVE. Respond appropriately: POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE
Zetera,0:12,a-team!,POSITIVE,0.9994738698005676,The user said: a-team!. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSIT
B4gelll,0:12,Jaws theme plays,POSITIVE,0.9913774728775024,The user said: Jaws theme plays. Sentiment: POSITIVE. Respond appropriately: Jaws theme plays.Responsible : POSITive.Responsible : POSITive.Responsible : POSITive.Responsible : POSITive.Responsible : POSITive.Responsible : POSITive.Responsible : POSITive.Responsible : POSITive.Responsible : POSITive.Responsible :
Eunos Wafiqomar (13 Eunos XA),0:12,BLOOP,NEGATIVE,0.9992669224739075,The user said: BLOOP. Sentiment: NEGATIVE. Respond appropriately: BLOOP.
mohi【座員】もひ,0:13,おはようございます,NEGATIVE,0.9238770604133606,The user said: おはようございます. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Kuro Mori,0:13,LETS GOOOOOOOOOOOOO,NEGATIVE,0.9479597806930542,The user said: LETS GOOOOOOOOOOOOO. Sentiment: NEGATIVE. Respond appropriately: NEGative.
fffighter4,0:13,Shark Girl and Lava Boy,NEGATIVE,0.5376999378204346,The user said: Shark Girl and Lava Boy. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
DR4G0N_CAK3,0:13,hi,POSITIVE,0.9983267188072205,The user said: hi. Sentiment: POSITIVE. Respond appropriately: POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.
anne ______,0:13,[EMOJI: trident_emblem] [EMOJI: shark][EMOJI: trident_emblem] bloop,NEGATIVE,0.999175488948822,The user said: [EMOJI: trident_emblem] [EMOJI: shark][EMOJI: trident_emblem] bloop. Sentiment: NEGATIVE. Respond appropriately: NEGative
Aeon,0:13,Spongebob: I'm chumming,NEGATIVE,0.9970297813415527,The user said: Spongebob: I'm chumming. Sentiment: NEGATIVE. Respond appropriately: I'm not.
goosewalk,0:13,A [EMOJI: shark],NEGATIVE,0.9945799112319946,The user said: A [EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: NEGative
Conrad Philips,0:14,[EMOJI: shark],NEGATIVE,0.9815446138381958,The user said: [EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: shark
Arthain,0:14,No sound,NEGATIVE,0.9997033476829529,The user said: No sound. Sentiment: NEGATIVE. Respond appropriately: No sound.
Rainbow Trout,0:14,Chumbuds rise!,POSITIVE,0.9991297125816345,The user said: Chumbuds rise!. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POS
Big Mac,0:14,OOOOOOOOOOO,POSITIVE,0.9492399096488953,The user said: OOOOOOOOOOO. Sentiment: POSITIVE. Respond appropriately: Ooooooooooooooooooooooooooooooo
Salmon,0:14,blood for the blood God,NEGATIVE,0.7155751585960388,The user said: blood for the blood God. Sentiment: NEGATIVE. Respond appropriately: blood for the blood God.
Retel,0:15,Bloop!,NEGATIVE,0.99698406457901,The user said: Bloop!. Sentiment: NEGATIVE. Respond appropriately: Bloopeworthy.
Angelo,0:15,SHARK POG,NEGATIVE,0.9853851199150085,The user said: SHARK POG. Sentiment: NEGATIVE. Respond appropriately: I'm not sure if you're trolling or not.
Randomguy,0:15,BLOOP!!!,NEGATIVE,0.9962955117225647,The user said: BLOOP!!!. Sentiment: NEGATIVE. Respond appropriately: BLOOP!
attractdistract,0:15,[EMOJI: shark][EMOJI: trident_emblem],NEGATIVE,0.9850307106971741,The user said: [EMOJI: shark][EMOJI: trident_emblem]. Sentiment: NEGATIVE. Respond appropriately: NEGative
meteoric,0:15,screensaver,POSITIVE,0.8883147239685059,The user said: screensaver. Sentiment: POSITIVE. Respond appropriately: POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE
Taco Miester,0:16,shark,NEGATIVE,0.9206615686416626,The user said: shark. Sentiment: NEGATIVE. Respond appropriately: shark.Sentiment : NEGative.Response : shark.Sentiment : NEGative.Response : shark.Sentiment : NEGative.Response : shark.Sentiment : NEGative.Response : shark.Sentiment : NEGative.Response : shark.Sentiment : NEGative.Response : shark.Sentiment : NEGative.Response : shark.Sentiment : NEG
Purp115,0:16,screensaver,POSITIVE,0.8883147239685059,The user said: screensaver. Sentiment: POSITIVE. Respond appropriately: POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE
Peppered Ribs (Peppered Ribs),0:16,LETSA GOOO!!!!,NEGATIVE,0.9985051155090332,The user said: LETSA GOOO!!!!. Sentiment: NEGATIVE. Respond appropriately: LETSA GOOOING.
Homebody,0:16,13 more minutes,POSITIVE,0.8963581323623657,The user said: 13 more minutes. Sentiment: POSITIVE. Respond appropriately: POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSIT
Gian d'Arc,0:16,SHAAAAAAAAAAAAAAKU,NEGATIVE,0.9891429543495178,The user said: SHAAAAAAAAAAAAAAKU. Sentiment: NEGATIVE. Respond appropriately: NEGative : I'm not sure what you're trying to say.
Falconi,0:16,Shark,NEGATIVE,0.9206615686416626,The user said: Shark. Sentiment: NEGATIVE. Respond appropriately: Shark.Sentiment : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : NEGative.Response : N
Adam,0:16,BLOOPD,NEGATIVE,0.9991641044616699,The user said: BLOOPD. Sentiment: NEGATIVE. Respond appropriately: BLOOPD.
Shinzai,0:16,Bloop af,NEGATIVE,0.9988136291503906,The user said: Bloop af. Sentiment: NEGATIVE. Respond appropriately: Bloop.
Buki さん,0:16,Let's go !!!! a,POSITIVE,0.9989140033721924,The user said: Let's go!!!! a. Sentiment: POSITIVE. Respond appropriately: I'm not sure what you're trying to say.
Daniel Gilbert,0:17,SHARK TIME,NEGATIVE,0.8613729476928711,The user said: SHARK TIME. Sentiment: NEGATIVE. Respond appropriately: SHARK TIME.
nova,0:17,lets a,POSITIVE,0.9972755312919617,The user said: lets a. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive
Kenny Leon,0:17,Bloop?,NEGATIVE,0.9993840456008911,The user said: Bloop?. Sentiment: NEGATIVE. Respond appropriately: Bloop.
arc cc,0:17,lmfaoooo,POSITIVE,0.5795457363128662,The user said: lmfaoooo. Sentiment: POSITIVE. Respond appropriately: POSITive.
Cashan,0:17,as always she is late since she is smol,NEGATIVE,0.9989377856254578,The user said: as always she is late since she is smol. Sentiment: NEGATIVE. Respond appropriately: I'm not sure if you're being sarcastic or not.
Josh So,0:17,MULTI-TRACK STREAMING!?,NEGATIVE,0.5249426960945129,The user said: MULTI-TRACK STREAMING!?. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
Turtle God,0:17,does bloop ever hit a perfect corner,NEGATIVE,0.9627165794372559,The user said: does bloop ever hit a perfect corner. Sentiment: NEGATIVE. Respond appropriately: I'm not sure.
りーのら,0:17,kusa,POSITIVE,0.897678792476654,The user said: kusa. Sentiment: POSITIVE. Respond appropriately: POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE
Kossori,0:17,shaaaaaa,NEGATIVE,0.9882258176803589,The user said: shaaaaaa. Sentiment: NEGATIVE. Respond appropriately: NEGative.
BAZARA86,0:17,A,POSITIVE,0.9872909188270569,The user said: A. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
haru,0:17,SAME A,NEGATIVE,0.974199652671814,The user said: SAME A. Sentiment: NEGATIVE. Respond appropriately: SAME A. Sentiment : NEGative.
Sprouter,0:17,bloop,NEGATIVE,0.9992669224739075,The user said: bloop. Sentiment: NEGATIVE. Respond appropriately: bloop. Sentiment : NEGative.
DarkSpine47,0:17,Amelia has to win this round guys,POSITIVE,0.9954758286476135,The user said: Amelia has to win this round guys. Sentiment: POSITIVE. Respond appropriately: Amelia is a POS.
Ryan Collins,0:17,BOUNCY BOI,POSITIVE,0.9992426633834839,The user said: BOUNCY BOI. Sentiment: POSITIVE. Respond appropriately: BOUNCY BOI.
Hapax,0:18,Shark!,POSITIVE,0.9273761510848999,The user said: Shark!. Sentiment: POSITIVE. Respond appropriately: POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive : POSITive :
grohlski,0:18,BLOOOOP!!,POSITIVE,0.7755217552185059,The user said: BLOOOOP!!. Sentiment: POSITIVE. Respond appropriately: BLOOOOP!
Hehe241,0:18,it's starting,POSITIVE,0.9996843338012695,The user said: it's starting. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSIT
ZachBraver,0:18,BLOOP,NEGATIVE,0.9992669224739075,The user said: BLOOP. Sentiment: NEGATIVE. Respond appropriately: BLOOP.
apologies for my swag,0:18,bloop,NEGATIVE,0.9992669224739075,The user said: bloop. Sentiment: NEGATIVE. Respond appropriately: bloop. Sentiment : NEGative.
エイヂ,0:18,待機,NEGATIVE,0.7850583791732788,The user said: 待機. Sentiment: NEGATIVE. Respond appropriately: NEGative.
rustblade7,0:18,Bloop!,NEGATIVE,0.99698406457901,The user said: Bloop!. Sentiment: NEGATIVE. Respond appropriately: Bloopeworthy.
Hidra,0:18,[EMOJI: shark] A [EMOJI: shark] [EMOJI: shark] A [EMOJI: shark],NEGATIVE,0.9945788383483887,The user said: [EMOJI: shark] A [EMOJI: shark] [EMOJI: shark] A [EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: NEGative
SaphLily,0:18,dvd logo but it's a shark in a bubble,NEGATIVE,0.9905235171318054,The user said: dvd logo but it's a shark in a bubble. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
